[INFO]: No checkpoint found, start to train a new model...
[STATE]: Oberve, [FRAMES]: 76, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 77, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 78, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 79, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 80, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 81, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 82, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 83, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 84, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 85, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 86, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 87, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 88, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 89, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 90, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 91, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 92, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 93, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 94, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 95, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 96, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 97, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 98, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 99, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 100, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 101, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 102, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 103, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 104, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 105, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 106, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 107, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 108, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 109, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 110, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 111, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 112, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 113, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 114, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 115, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 116, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 117, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 118, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 119, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 120, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 121, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 122, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 123, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 124, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 125, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 126, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 127, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 128, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 129, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 130, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 131, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 132, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 133, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 134, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 135, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 136, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 137, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 138, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 139, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 140, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 141, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 142, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 143, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 144, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 145, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 146, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 147, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 148, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 149, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 150, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 151, [GAMES]: 0, [WINS]: 0...
